"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"613",613,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"614",614,2.5455,"MS-DRG",31,4.30000019073486,0,,5.90000009536743,10/1/2013,2014
"615",615,1.4579,"MS-DRG",31,2.29999995231628,0,,2.70000004768372,10/1/2013,2014
"616",616,4.0773,"MS-DRG",31,10.8999996185303,0,,13.1000003814697,10/1/2013,2014
"617",617,2.0071,"MS-DRG",31,6.09999990463257,0,,7.40000009536743,10/1/2013,2014
"618",618,1.2489,"MS-DRG",31,4.30000019073486,0,,5.19999980926514,10/1/2013,2014
"619",619,3.62,"MS-DRG",31,4.80000019073486,0,,7.69999980926514,10/1/2013,2014
"620",620,1.9399,"MS-DRG",31,2.70000004768372,0,,3.20000004768372,10/1/2013,2014
"621",621,1.5772,"MS-DRG",31,1.79999995231628,0,,2,10/1/2013,2014
"622",622,3.3505,"MS-DRG",31,9.10000038146973,0,,12.1999998092651,10/1/2013,2014
"623",623,1.8239,"MS-DRG",31,5.69999980926514,0,,7.09999990463257,10/1/2013,2014
"624",624,0.9635,"MS-DRG",31,3.5,0,,4.19999980926514,10/1/2013,2014
"625",625,2.4009,"MS-DRG",31,4.40000009536743,0,,7.30000019073486,10/1/2013,2014
"626",626,1.2459,"MS-DRG",31,2,0,,2.79999995231628,10/1/2013,2014
"627",627,0.8458,"MS-DRG",31,1.29999995231628,0,,1.39999997615814,10/1/2013,2014
"628",628,3.3515,"MS-DRG",31,6.59999990463257,0,,9.60000038146973,10/1/2013,2014
"629",629,2.1292,"MS-DRG",31,6,0,,7.19999980926514,10/1/2013,2014
"630",630,1.3444,"MS-DRG",31,3,0,,3.79999995231628,10/1/2013,2014
"631",631,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"632",632,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"633",633,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"634",634,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"635",635,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"636",636,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"637",637,1.3888,"MS-DRG",31,4.19999980926514,0,,5.5,10/1/2013,2014
"638",638,0.8252,"MS-DRG",31,3,0,,3.70000004768372,10/1/2013,2014
"639",639,0.5708,"MS-DRG",31,2.20000004768372,0,,2.59999990463257,10/1/2013,2014
"640",640,1.1111,"MS-DRG",31,3.29999995231628,0,,4.59999990463257,10/1/2013,2014
"641",641,0.6992,"MS-DRG",31,2.79999995231628,0,,3.40000009536743,10/1/2013,2014
"642",642,1.0674,"MS-DRG",31,3.20000004768372,0,,4.19999980926514,10/1/2013,2014
"643",643,1.6693,"MS-DRG",31,5.5,0,,6.90000009536743,10/1/2013,2014
